	feature	tfidf
0	,	0.03657198183155025
1	автор	0.02328545676000858
2	произведение	0.016708186326639857
3	роман	0.015343122071826774
4	читатель	0.012940067815600084
5	герой	0.011843141620274347
6	рассказ	0.011462479955163295
7	фильм	0.010444078096915983
8	!	0.010072841362692786
9	книга	0.010042706698616932
10	текст	0.009636332874749975
11	рецензия	0.009193075056686605
12	и	0.008916075219971545
13	http	0.008424372808260807
14	поэт	0.008268964713331948
15	литература	0.007812198739906526
16	ru	0.007670711083157794
17	писатель	0.007261462807041464
18	proza	0.007245294878297711
19	персонаж	0.0066910940086574045
20	www	0.006547352805826822
21	*	0.006496528270851509
22	я	0.00642849313618833
23	страница	0.005889638908206325
24	литературный	0.0056540878125689
25	не	0.005650587801462871
26	мастер	0.005630903865882561
27	стих	0.005622940240907479
28	вы	0.005563368404684583
29	россия	0.005484940631151072
30	в	0.005475812170815954
31	конкурс	0.005474481642532816
32	поэзия	0.005453161805991955
33	русский	0.005180232025166764
34	сборник	0.005142287017526157
35	спектакль	0.005113094370406003
36	стихотворение	0.005110721977569442
37	сюжет	0.005082361654679202
38	японский	0.005032156004532499
39	художник	0.0049034133479758536
40	жанр	0.0047383865341928556
41	зритель	0.004734747526024715
42	2017	0.004686886151124522
43	проза	0.004514265597157526
44	сайт	0.004080878334489458
45	искусство	0.00399786097659335
46	поэтический	0.003922201058506479
47	повествование	0.0038170151701062815
48	2016	0.0037672415075121054
49	культура	0.00376426371832042
50	ять	0.003722170407356993
51	критика	0.0036152690207664996
52	повесть	0.0036143776792064764
53	современный	0.0035576338096156533
54	гвардия	0.003528158830599753
55	театр	0.003515295660239492
56	сцена	0.003495564047540024
57	12	0.003491949843194117
58	пьеса	0.0034645384136280993
59	2012	0.0034161950543668954
60	писать	0.00339074060421833
61	война	0.003350328361406492
62	что	0.0033439294150472694
63	творчество	0.0033123019720848663
64	художественный	0.003296088808072881
65	режиссер	0.003279371988151774
66	человек	0.003270160112568631
67	балл	0.0032235245033105445
68	советский	0.0032090746589013056
69	замечательный	0.0031982423126152544
70	лист	0.0031444447385996646
71	публикация	0.0031416500971660983
72	кино	0.003136923364219027
73	он	0.003095406267339343
74	мечание	0.0030683132542294856
75	ваш	0.0030553571296306698
76	03	0.002987078060385448
77	часть	0.0029195285608066518
78	статья	0.0028801170576195955
79	народ	0.002867633076547679
80	актер	0.0027824430153946377
81	страна	0.002750071586945611
82	исторический	0.0027275518690294278
83	авторский	0.0027159418778864635
84	общество	0.0027118585622784345
85	сергей	0.002705095556098157
86	любовь	0.0026896623084528477
87	наталья	0.0026490085860899322
88	книжка	0.0026247217596167462
89	***	0.0025944040784011213
90	виктор	0.002590622619473334
91	мир	0.0025848162986543705
92	проект	0.002560619464722131
93	ребенок	0.0025483399789471266
94	о	0.002541167657959624
95	эпоха	0.0025399939100632673
96	талант	0.0025307463142413785
97	александр	0.002501444107603949
98	япония	0.0024870520442376765
99	финал	0.002472311721201468
100	век	0.002465277722713092
101	строка	0.0024559454619787705
102	союз	0.002436283221710118
103	читать	0.002435082326767243
104	юмор	0.002423594560048956
105	российский	0.002400490241114797
106	андрей	0.0023141005414552647
107	михаил	0.002313355787301172
108	2009	0.0022999372148829267
109	стихи	0.0022737652204322177
110	это	0.00226272670769137
111	ты	0.0022591772488997947
112	творческий	0.0022493619579468495
113	редактор	0.002246716398329856
114	**	0.0022269753413659663
115	евгений	0.0021881459150852366
116	то	0.0021539297239138453
117	эпизод	0.0021505119905765127
118	государство	0.002142078129148433
119	серия	0.0021416353558920153
120	сказка	0.0021360320632649197
121	на	0.002124429246540487
122	мы	0.0021165809475537883
123	памятник	0.0020961069545924805
124	й	0.0020524482321149806
125	женщина	0.0020442376018727517
126	жизнь	0.002039594138635745
127	биография	0.0020381075738619484
128	игра	0.0020362688954990837
129	бог	0.002027479868523798
130	смысл	0.002026776319035173
131	издательство	0.0020211451845333923
132	стиль	0.0020080615965073056
133	владимир	0.002006192611923136
134	она	0.0019959403106561487
135	04	0.001992260111720859
136	11	0.001992084865947569
137	история	0.0019793933575499075
138	мой	0.0019648160520323093
139	традиционный	0.0019640943170146545
140	премия	0.0019604303064279737
141	хороший	0.001958130938230919
142	речь	0.0019510101656528044
143	быть	0.0019366932409986498
144	душа	0.0019042153659291892
145	а	0.0018991919994230542
146	содержание	0.001893004264811191
147	бытие	0.001872786344793629
148	06	0.001865605824956471
149	дмитрий	0.0018540513673376612
150	н	0.001830815745354906
151	09	0.0018300383449320944
152	социальный	0.001812051512719274
153	язык	0.0018110732197414736
154	восприятие	0.0018000462877707894
155	1	0.0017854543635683815
156	наш	0.0017704974129466242
157	танцевать	0.00176708149959567
158	танец	0.0017662775215517
159	политический	0.0017636344710570888
160	образ	0.0017629908834700262
161	2	0.001760597650825883
162	закон	0.001758227844909556
163	роль	0.0017566509760659102
164	свидетельство	0.0017564224959838643
165	личность	0.0017537202865531088
166	путин	0.0017510975468263746
167	историк	0.0017494427254325835
168	м	0.0017277516903064997
169	ссср	0.0017244828718954225
170	07	0.0017178393446376596
171	музыка	0.0016945300645557861
172	г	0.0016901459305522306
173	истина	0.0016709659520186331
174	свой	0.0016615769718616538
175	для	0.0016573805343071666
176	алексей	0.0016570841436511989
177	любить	0.001656681180313538
178	ольга	0.001655038551625899
179	картина	0.0016525380998750694
180	классический	0.001645930338966713
181	поколение	0.0016363268536779003
182	интернет	0.001634776498809096
183	церковь	0.0016329589003759115
184	интересный	0.0016200333243341746
185	детектив	0.0016163669900138213
186	родина	0.001609340693913622
187	написание	0.0016024286554703695
188	описание	0.001601957405126078
189	том	0.0016002896926220302
190	народный	0.0015959793378420826
191	мнение	0.0015917899433492894
192	государственный	0.0015739682355722414
193	у	0.001572416772378827
194	процент	0.0015712509074252347
195	друг	0.0015644203881750268
196	духовный	0.0015635735685140635
197	выставка	0.0015570286114071322
198	слово	0.0015569419309796782
199	бы	0.001540039301673803
200	идея	0.001538749621592126
201	песня	0.001536399349944729
202	2011	0.0015351359414969494
203	комментарий	0.0015315399734431893
204	рф	0.0015293113180123534
205	05	0.0015275790803408454
206	символ	0.0015256926047692383
207	3	0.0015255862496734284
208	чтение	0.0015237543013857755
209	14	0.001523144858036723
210	сталин	0.0015231268962346534
211	деньги	0.0015186163313974225
212	великий	0.001512614685917227
213	8	0.0015115736496635285
214	точка	0.001495596716705328
215	тема	0.001486758657845692
216	название	0.001486629850587178
217	еврей	0.0014864422841880506
218	уровень	0.0014858135389436843
219	понимание	0.0014799248579991228
220	a	0.0014782313793315674
221	проз	0.001477833686165087
222	строчка	0.001456305341823404
223	2010	0.0014560419127900074
224	будущее	0.0014515680714792026
225	мировой	0.0014515261578683953
226	08	0.0014485546679010924
227	этот	0.0014479332141016986
228	частность	0.0014408991188792463
229	журналист	0.0014387497215422923
230	миф	0.0014299471552415447
231	победитель	0.0014284710777787894
232	com	0.0014119510337241015
233	15	0.0014111974870603227
234	дневник	0.0014017395682216155
235	е	0.001400619959093963
236	значение	0.0013939870291122414
237	психологический	0.001385264479127233
238	с	0.0013832790719367606
239	николай	0.0013832693963932421
240	ссылка	0.0013826878174159785
241	создавать	0.00138046878993785
242	место	0.0013778302103311206
243	иметь	0.0013744802008169251
244	успех	0.0013741030622058288
245	конфликт	0.0013730213682824552
246	плохой	0.0013712248982131546
247	популярный	0.0013691259873570033
248	ошибка	0.0013661797853254413
249	мастерство	0.0013643620965783007
250	желание	0.0013624877805495908
251	2014	0.0013566547062044785
252	брат	0.001354162148775188
253	чужой	0.0013529188348101809
254	театральный	0.0013500071641843394
255	они	0.00134834611939017
256	власть	0.001346098755363534
257	т	0.0013457319848747978
258	2015	0.0013445691791046277
259	отечественный	0.0013440261957629318
260	человечество	0.0013429798003346193
261	мечта	0.0013398953787993107
262	действительность	0.0013383077177522738
263	характер	0.0013348037722924941
264	предложение	0.001334112271355984
265	музыкальный	0.0013333255645861847
266	светлана	0.0013309340582045228
267	пушкин	0.0013160998573833057
268	переводчик	0.001314989037811098
269	пример	0.0013131293368455622
270	который	0.00130857839754626
271	2005	0.0013083762582771453
272	традиция	0.0013033872771151638
273	суть	0.00130082643515334
274	анатолий	0.0012995125422811127
275	з	0.0012951810461383523
276	В	0.0012930803892653416
277	американский	0.001290846575903566
278	национальный	0.0012876919311633353
279	мужчина	0.0012865027702256364
280	работа	0.0012834816639282658
281	журнал	0.0012827104690210285
282	право	0.0012799265206824794
283	Анна	0.0012740103757226753
284	наука	0.0012720841528602563
285	ни	0.0012687979908133677
286	опубликовывать	0.0012664750020382873
287	глава	0.0012660951125905548
288	всегда	0.0012650837037671535
289	влияние	0.001264470260918122
290	создание	0.0012615805422171353
291	вдохновение	0.0012593892395610842
292	почему	0.0012586166630243175
293	нет	0.0012513813456960354
294	чужий	0.0012508649358621675
295	2013	0.0012506275961628385
296	армия	0.0012500206133372624
297	02	0.0012496207215170248
298	украина	0.001247684132992693
299	или	0.0012428568848335958
300	президент	0.0012419108581932896
301	фон	0.0012413497145974044
302	знак	0.001240930344730186
303	иной	0.001238073538201232
304	система	0.0012369400551907276
305	чувство	0.001234863242392081
306	себя	0.0012283095217179402
307	квадрат	0.001227716853768915
308	Татьяна	0.0012243661978327298
309	кто	0.0012222681342826615
310	портрет	0.0012182682666904189
311	много	0.0012165662858070667
312	материал	0.0012133282895769118
